    INFO: 2024-09-18 11:11:13,586:               log.py:   20: Logging to /Users/isaacleong/Library/CloudStorage/OneDrive-AustralianNationalUniversity/work/Year_2/Sem_2/ECON2026/Week7/mdpdf.log
   DEBUG: 2024-09-18 11:11:13,858:      pdf_renderer.py:  470: printSegment: Note that the
   DEBUG: 2024-09-18 11:11:13,859:      pdf_renderer.py:  470: printSegment: above equation is called the interest rates parity condition. And, we get the following statements:
   DEBUG: 2024-09-18 11:11:13,860:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,860:      pdf_renderer.py:  470: printSegment: $
   DEBUG: 2024-09-18 11:11:13,861:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,861:      pdf_renderer.py:  470: printSegment: uparrow E^e
   DEBUG: 2024-09-18 11:11:13,862:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-09-18 11:11:13,862:      pdf_renderer.py:  470: printSegment: {t+1} 
   DEBUG: 2024-09-18 11:11:13,863:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,864:      pdf_renderer.py:  470: printSegment: implies 
   DEBUG: 2024-09-18 11:11:13,864:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,865:      pdf_renderer.py:  470: printSegment: uparrow E
   DEBUG: 2024-09-18 11:11:13,865:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-09-18 11:11:13,866:      pdf_renderer.py:  470: printSegment: t$
   DEBUG: 2024-09-18 11:11:13,866:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,867:      pdf_renderer.py:  470: printSegment: $
   DEBUG: 2024-09-18 11:11:13,867:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,868:      pdf_renderer.py:  470: printSegment: uparrow i^F 
   DEBUG: 2024-09-18 11:11:13,869:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,869:      pdf_renderer.py:  470: printSegment: implies 
   DEBUG: 2024-09-18 11:11:13,870:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,870:      pdf_renderer.py:  470: printSegment: downarrow E
   DEBUG: 2024-09-18 11:11:13,871:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-09-18 11:11:13,871:      pdf_renderer.py:  470: printSegment: t$
   DEBUG: 2024-09-18 11:11:13,872:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,873:      pdf_renderer.py:  470: printSegment: $
   DEBUG: 2024-09-18 11:11:13,873:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,874:      pdf_renderer.py:  470: printSegment: uparrow i^D 
   DEBUG: 2024-09-18 11:11:13,874:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,875:      pdf_renderer.py:  470: printSegment: implies 
   DEBUG: 2024-09-18 11:11:13,876:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,876:      pdf_renderer.py:  470: printSegment: uparrow E
   DEBUG: 2024-09-18 11:11:13,877:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-09-18 11:11:13,877:      pdf_renderer.py:  470: printSegment: t$
   DEBUG: 2024-09-18 11:11:13,878:      pdf_renderer.py:  470: printSegment: Summary
   DEBUG: 2024-09-18 11:11:13,879:      pdf_renderer.py:  470: printSegment: We have two theorem to explain the exchange rate:
   DEBUG: 2024-09-18 11:11:13,879:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,880:      pdf_renderer.py:  470: printSegment: Long-term
   DEBUG: 2024-09-18 11:11:13,881:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,881:      pdf_renderer.py:  470: printSegment: PPP: $
   DEBUG: 2024-09-18 11:11:13,882:      pdf_renderer.py:  470: printSegment: %
   DEBUG: 2024-09-18 11:11:13,882:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-09-18 11:11:13,883:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,884:      pdf_renderer.py:  470: printSegment: Delta E = 
   DEBUG: 2024-09-18 11:11:13,884:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,885:      pdf_renderer.py:  470: printSegment: pi^F - 
   DEBUG: 2024-09-18 11:11:13,885:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,886:      pdf_renderer.py:  470: printSegment: pi^D$
   DEBUG: 2024-09-18 11:11:13,887:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,887:      pdf_renderer.py:  470: printSegment: Short-term
   DEBUG: 2024-09-18 11:11:13,888:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,888:      pdf_renderer.py:  470: printSegment: Interest Parity Conditions
   DEBUG: 2024-09-18 11:11:13,889:      pdf_renderer.py:  470: printSegment: Some examples
   DEBUG: 2024-09-18 11:11:13,890:      pdf_renderer.py:  235: /Users/isaacleong/Library/CloudStorage/OneDrive-AustralianNationalUniversity/work/Year_2/Sem_2/ECON2026/Week7/raise_in_expected_future.png, 2162, 1618
   DEBUG: 2024-09-18 11:11:13,962:      pdf_renderer.py:  235: /Users/isaacleong/Library/CloudStorage/OneDrive-AustralianNationalUniversity/work/Year_2/Sem_2/ECON2026/Week7/raise_n_domestic_interest_rate.png, 2162, 1618
   DEBUG: 2024-09-18 11:11:14,036:      pdf_renderer.py:  235: /Users/isaacleong/Library/CloudStorage/OneDrive-AustralianNationalUniversity/work/Year_2/Sem_2/ECON2026/Week7/raise_in_foreign_rate.png, 2162, 1618
   DEBUG: 2024-09-18 11:11:14,108:      pdf_renderer.py:  470: printSegment: Demand and Supply Model
   DEBUG: 2024-09-18 11:11:14,109:      pdf_renderer.py:  470: printSegment: Exchange rate Intervention
   DEBUG: 2024-09-18 11:11:14,109:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:14,110:      pdf_renderer.py:  470: printSegment: Unsterlised Intervetions
   DEBUG: 2024-09-18 11:11:14,110:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:14,111:      pdf_renderer.py:  470: printSegment: B (monetary base) is allowed to fluctuate
   DEBUG: 2024-09-18 11:11:14,111:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:14,111:      pdf_renderer.py:  470: printSegment: Sterlilised interventions
   DEBUG: 2024-09-18 11:11:14,112:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:14,112:      pdf_renderer.py:  470: printSegment: B will not change
   DEBUG: 2024-09-18 11:11:14,113:      pdf_renderer.py:  470: printSegment: Unsterilised Interventions
   DEBUG: 2024-09-18 11:11:14,113:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:14,114:      pdf_renderer.py:  470: printSegment: Ex: CB buys foreign asets (sell domestic currency) with a check of $1 Billion
   DEBUG: 2024-09-18 11:11:14,114:      pdf_renderer.py:   53: 0, [1, 'The Foreign Exchange Market', 1, 68.0]
   DEBUG: 2024-09-18 11:11:14,114:      pdf_renderer.py:   53: 1, [2, 'Exchange Rates and Trade', 1, 106.0]
   DEBUG: 2024-09-18 11:11:14,114:      pdf_renderer.py:   53: 2, [3, 'Direct Quotations', 1, 211.20000000000002]
   DEBUG: 2024-09-18 11:11:14,114:      pdf_renderer.py:   53: 3, [3, 'Indirect Quotations', 1, 270.0]
   DEBUG: 2024-09-18 11:11:14,114:      pdf_renderer.py:   53: 4, [3, 'Real Exchange Rate', 1, 346.79999999999995]
   DEBUG: 2024-09-18 11:11:14,114:      pdf_renderer.py:   53: 5, [2, 'Exchange Rates in the Long Run', 2, 491.04236817761335]
   DEBUG: 2024-09-18 11:11:14,114:      pdf_renderer.py:   53: 6, [3, 'Example of the Theory of Purchasing Power Parity (PPP)', 2, 608.2423681776133]
   DEBUG: 2024-09-18 11:11:14,114:      pdf_renderer.py:   53: 7, [3, 'PPP', 3, 110.4]
   DEBUG: 2024-09-18 11:11:14,114:      pdf_renderer.py:   53: 8, [3, 'Limitations to the PPP', 3, 223.20000000000002]
   DEBUG: 2024-09-18 11:11:14,114:      pdf_renderer.py:   53: 9, [3, 'Should Big Macs Have the Same Price Everywhere?', 3, 372.0]
   DEBUG: 2024-09-18 11:11:14,114:      pdf_renderer.py:   53: 10, [2, 'A Demand and Supply Model of Short-Run', 4, 98.8]
   DEBUG: 2024-09-18 11:11:14,114:      pdf_renderer.py:   53: 11, [3, 'Explaination', 4, 216.0]
   DEBUG: 2024-09-18 11:11:14,115:      pdf_renderer.py:   53: 12, [2, 'Summary', 4, 617.1999999999999]
   DEBUG: 2024-09-18 11:11:14,115:      pdf_renderer.py:   53: 13, [3, 'Some examples', 5, 110.4]
   DEBUG: 2024-09-18 11:11:14,115:      pdf_renderer.py:   53: 14, [2, 'Demand and Supply Model', 7, 473.04236817761335]
   DEBUG: 2024-09-18 11:11:14,115:      pdf_renderer.py:   53: 15, [3, 'Exchange rate Intervention', 7, 506.24236817761334]
